141,USDTRY,2010-07-19,1.5367
142,USDTRY,2010-07-20,1.5275
143,USDTRY,2010-07-21,1.5314
144,USDTRY,2010-07-22,1.5169
145,USDTRY,2010-07-23,1.5199
146,USDTRY,2010-07-26,1.5123
147,USDTRY,2010-07-27,1.5087
148,USDTRY,2010-07-28,1.5108
149,USDTRY,2010-07-29,1.51
150,USDTRY,2010-07-30,1.5048
151,USDTRY,2010-08-02,1.4925
152,USDTRY,2010-08-03,1.4914
153,USDTRY,2010-08-04,1.4973
154,USDTRY,2010-08-05,1.5
155,USDTRY,2010-08-06,1.4871
156,USDTRY,2010-08-09,1.4904
157,USDTRY,2010-08-10,1.4966
158,USDTRY,2010-08-11,1.5234
159,USDTRY,2010-08-12,1.5175
160,USDTRY,2010-08-13,1.516
161,USDTRY,2010-08-16,1.5081
162,USDTRY,2010-08-17,1.4955
163,USDTRY,2010-08-18,1.4983
164,USDTRY,2010-08-19,1.5081
165,USDTRY,2010-08-20,1.5141
166,USDTRY,2010-08-23,1.5279
167,USDTRY,2010-08-24,1.532
168,USDTRY,2010-08-25,1.525
169,USDTRY,2010-08-26,1.5208
170,USDTRY,2010-08-27,1.5146
171,USDTRY,2010-08-30,1.5232
172,USDTRY,2010-08-31,1.5247
173,USDTRY,2010-09-01,1.5139
174,USDTRY,2010-09-02,1.509
175,USDTRY,2010-09-03,1.498
176,USDTRY,2010-09-06,1.5006
177,USDTRY,2010-09-07,1.5142
178,USDTRY,2010-09-08,1.5141
179,USDTRY,2010-09-09,1.5085
180,USDTRY,2010-09-10,1.506
181,USDTRY,2010-09-13,1.4941
182,USDTRY,2010-09-14,1.4896
183,USDTRY,2010-09-15,1.4878
184,USDTRY,2010-09-16,1.4939
185,USDTRY,2010-09-17,1.4918
186,USDTRY,2010-09-20,1.4884
187,USDTRY,2010-09-21,1.4857
188,USDTRY,2010-09-22,1.4829
189,USDTRY,2010-09-23,1.4848
190,USDTRY,2010-09-24,1.4742
191,USDTRY,2010-09-27,1.4692
192,USDTRY,2010-09-28,1.4629
193,USDTRY,2010-09-29,1.4505
194,USDTRY,2010-09-30,1.4456
195,USDTRY,2010-10-01,1.4423
196,USDTRY,2010-10-04,1.4549
197,USDTRY,2010-10-05,1.4267
198,USDTRY,2010-10-06,1.4162
199,USDTRY,2010-10-07,1.4253
200,USDTRY,2010-10-08,1.4121
201,USDTRY,2010-10-11,1.4147
202,USDTRY,2010-10-12,1.4102
203,USDTRY,2010-10-13,1.4049
204,USDTRY,2010-10-14,1.4066
205,USDTRY,2010-10-15,1.4111
206,USDTRY,2010-10-18,1.4124
207,USDTRY,2010-10-19,1.4373
208,USDTRY,2010-10-20,1.4214
209,USDTRY,2010-10-21,1.4255
210,USDTRY,2010-10-22,1.4225
211,USDTRY,2010-10-25,1.416
212,USDTRY,2010-10-26,1.4251
213,USDTRY,2010-10-27,1.4405
214,USDTRY,2010-10-28,1.4293
215,USDTRY,2010-10-29,1.4317
216,USDTRY,2010-11-01,1.4248
217,USDTRY,2010-11-02,1.4089
218,USDTRY,2010-11-03,1.4022
219,USDTRY,2010-11-04,1.3929
220,USDTRY,2010-11-05,1.3951
221,USDTRY,2010-11-08,1.4098
